id, label
001, 0
002, 1
003, 2
004, 3
005, 4
006, 0
007, 1
008, 2
009, 3
010, 4
011, 0
012, 1
013, 2
014, 3
015, 4
016, 0
017, 1
018, 2
019, 3
020, 4
021, 0
022, 1
023, 2
024, 3
025, 4
026, 0
027, 1
028, 2
029, 3
030, 4
031, 0
032, 1
033, 2
034, 3
035, 4
036, 0
037, 1
038, 2
039, 3
040, 4
041, 0
042, 1
043, 2
044, 3
045, 4
046, 0
047, 1
048, 2
049, 3
050, 4
051, 0
052, 1
053, 2
054, 3
055, 4
056, 0
057, 1
058, 2
059, 3
060, 4
061, 0
062, 1
063, 2
064, 3
065, 4
066, 0
067, 1
068, 2
069, 3
070, 4
071, 0
072, 1
073, 2
074, 3
075, 4
076, 0
077, 1
078, 2
079, 3
080, 4
081, 0
082, 1
083, 2
084, 3
085, 4
086, 0
087, 1
088, 2
089, 3
090, 4
091, 0
092, 1
093, 2
094, 3
095, 4
096, 0
097, 1
098, 2
099, 3
100, 4
